age,occupation,monthly_income,expenses,fixed_expenses,variable_expenses,has_loans,debt_amount,monthly_emi,savings,emergency_fund,invests,investment_type,risk_appetite,short_term_goals,long_term_goals,financial_health
22,Retired,55357,43996,25231,18765,False,0,0,11361,83347,False,None,Low,Emergency Fund,Buy House,Average
38,Salaried,83300,55968,11538,44430,False,0,0,27332,386352,True,FD,Moderate,Vacation,Start Business,Good
24,Business,139892,118474,58629,59845,False,0,0,21418,494849,True,Crypto,Moderate,Emergency Fund,Retirement,Average
35,Retired,134732,60309,34034,26275,True,1132665,49913,24510,446852,False,None,Moderate,Vacation,Wealth Creation,Average
46,Self-employed,12098,10842,2937,7905,False,0,0,1256,373007,True,Stocks,Low,Vacation,Start Business,Average
39,Business,96538,85459,23443,62016,True,321816,2257,8822,373074,True,Mutual Funds,Moderate,Emergency Fund,Buy House,Poor
57,Salaried,149205,66212,33754,32458,False,0,0,82993,129447,True,Real Estate,Low,Vacation,Retirement,Average
46,Business,112237,96357,29193,67164,False,0,0,15880,327500,False,None,Moderate,Upgrade Lifestyle,Retirement,Average
20,Retired,27247,22062,7731,14331,True,1977618,4249,936,163650,False,None,Low,Buy Car,Retirement,Poor
24,Salaried,93137,80391,32323,48068,False,0,0,12746,248839,True,Stocks,Moderate,Pay Debt,Kids Education,Average
26,Self-employed,178905,134327,59738,74589,True,95604,46899,0,285591,False,None,Moderate,Vacation,Buy House,Poor
23,Self-employed,102178,65838,23950,41888,False,0,0,36340,97031,True,None,Moderate,Pay Debt,Kids Education,Average
35,Student,186083,154522,79762,74760,False,0,0,31561,171421,True,Stocks,High,Buy Car,Kids Education,Average
23,Business,16890,10052,4715,5337,True,242115,10755,0,483698,False,None,Moderate,Emergency Fund,Buy House,Poor
46,Student,149244,99314,41514,57800,False,0,0,49930,104762,True,Stocks,Moderate,Vacation,Retirement,Average
25,Student,121327,54069,18848,35221,False,0,0,67258,454805,True,Crypto,Moderate,Upgrade Lifestyle,Retirement,Good
51,Salaried,104295,56742,22185,34557,False,0,0,47553,422264,False,None,Low,Emergency Fund,Kids Education,Good
34,Self-employed,193535,163362,61671,101691,False,0,0,30173,289489,True,Stocks,Low,Buy Car,Kids Education,Average
33,Student,199669,170130,65603,104527,False,0,0,29539,118165,False,None,Low,Pay Debt,Retirement,Average
56,Salaried,175427,143311,58110,85201,True,1970536,14303,17813,24892,False,None,Low,Upgrade Lifestyle,Wealth Creation,Average
46,Salaried,140018,59698,13216,46482,False,0,0,80320,224269,False,None,Moderate,Vacation,Kids Education,Good
41,Business,12155,9684,5794,3890,False,0,0,2471,381982,True,Gold,Moderate,Pay Debt,Buy House,Good
30,Retired,139309,78070,22724,55346,False,0,0,61239,60689,False,None,Low,Upgrade Lifestyle,Buy House,Average
28,Retired,157547,76258,37547,38711,False,0,0,81289,67830,True,FD,Low,Pay Debt,Retirement,Average
37,Self-employed,182891,85507,47418,38089,True,74669,7069,90315,182281,True,Gold,Low,Buy Car,Buy House,Average
55,Business,132430,54213,26701,27512,True,1957763,9764,68453,451568,False,None,High,Upgrade Lifestyle,Kids Education,Good
33,Salaried,26106,16670,3645,13025,False,0,0,9436,433734,True,Gold,High,Upgrade Lifestyle,Buy House,Good
59,Retired,111178,93809,52015,41794,False,0,0,17369,107922,True,Stocks,High,Emergency Fund,Kids Education,Average
26,Self-employed,122838,77716,28226,49490,False,0,0,45122,430873,True,FD,Low,Pay Debt,Wealth Creation,Good
23,Business,149579,116838,62822,54016,True,127773,27292,5449,43301,True,Gold,High,Vacation,Start Business,Poor
21,Retired,115120,97044,40896,56148,True,154001,48683,0,151539,False,None,High,Emergency Fund,Start Business,Poor
37,Salaried,139240,103140,47250,55890,False,0,0,36100,54461,True,Stocks,Low,Buy Car,Wealth Creation,Average
23,Student,167558,73066,27881,45185,True,1331137,11740,82752,343238,True,Mutual Funds,Low,Buy Car,Wealth Creation,Good
47,Self-employed,171022,91196,19064,72132,False,0,0,79826,455193,False,None,High,Upgrade Lifestyle,Wealth Creation,Good
52,Business,125165,56072,11417,44655,True,1390691,36059,33034,25182,False,None,High,Emergency Fund,Wealth Creation,Average
30,Retired,88572,40154,21996,18158,False,0,0,48418,327722,True,Crypto,High,Buy Car,Wealth Creation,Good
21,Business,48004,38480,22201,16279,True,1710982,30279,0,229470,True,Stocks,High,Upgrade Lifestyle,Kids Education,Poor
59,Salaried,29448,17033,4606,12427,True,285337,40580,0,344136,False,None,Moderate,Upgrade Lifestyle,Retirement,Poor
27,Student,61419,29789,13288,16501,True,1460997,19602,12028,51549,False,None,High,Pay Debt,Kids Education,Average
43,Business,191064,118273,58529,59744,False,0,0,72791,497278,False,None,High,Upgrade Lifestyle,Wealth Creation,Good
37,Student,90143,50377,25016,25361,True,175472,8896,30870,426187,True,Stocks,Low,Upgrade Lifestyle,Start Business,Good
30,Salaried,44278,31461,13349,18112,True,1057331,10596,2221,300501,False,None,Low,Emergency Fund,Buy House,Poor
45,Salaried,191875,87889,51928,35961,True,1551932,14011,89975,325316,True,None,Moderate,Upgrade Lifestyle,Buy House,Good
30,Student,54318,28934,12789,16145,True,659194,42645,0,48555,True,Crypto,Moderate,Pay Debt,Retirement,Poor
58,Retired,42906,36517,18745,17772,False,0,0,6389,106327,False,None,Moderate,Buy Car,Wealth Creation,Average
40,Student,144157,127351,32993,94358,False,0,0,16806,220440,True,FD,High,Buy Car,Wealth Creation,Average
53,Business,194787,98213,48294,49919,True,1998977,31987,64587,196187,False,None,Moderate,Vacation,Wealth Creation,Average
43,Self-employed,69948,61208,29070,32138,True,645507,25450,0,77768,False,None,High,Buy Car,Retirement,Poor
52,Retired,41411,31976,18204,13772,True,249373,16574,0,429832,True,Crypto,Low,Emergency Fund,Retirement,Poor
23,Self-employed,63027,40194,8596,31598,True,1963746,29804,0,125910,False,None,Moderate,Vacation,Start Business,Poor
52,Student,80480,34040,14400,19640,False,0,0,46440,242999,True,Stocks,High,Vacation,Start Business,Good
33,Salaried,190576,99456,58980,40476,True,55492,10620,80500,204070,True,None,Low,Buy Car,Wealth Creation,Average
21,Self-employed,183558,144038,36286,107752,False,0,0,39520,86369,False,None,Moderate,Buy Car,Kids Education,Average
40,Retired,150885,106694,34934,71760,True,235217,14699,29492,207183,True,Crypto,High,Pay Debt,Wealth Creation,Average
33,Business,45711,41088,23650,17438,True,1806067,35836,0,485292,True,Stocks,High,Buy Car,Start Business,Poor
20,Business,29534,24746,8353,16393,True,1814429,42767,0,218501,False,None,High,Upgrade Lifestyle,Retirement,Poor
28,Business,74170,29712,6020,23692,True,726967,40544,3914,152218,False,None,Moderate,Emergency Fund,Retirement,Poor
39,Retired,19285,8313,3916,4397,False,0,0,10972,155297,True,Gold,Low,Pay Debt,Retirement,Good
37,Salaried,124297,50543,18181,32362,False,0,0,73754,44946,True,Real Estate,Low,Buy Car,Retirement,Average
21,Self-employed,92044,56025,21949,34076,True,565858,5338,30681,58407,True,Crypto,Low,Vacation,Kids Education,Average
22,Retired,75311,59985,26374,33611,False,0,0,15326,253955,False,None,Low,Buy Car,Buy House,Good
21,Business,18719,16742,8809,7933,True,917668,43646,0,294318,False,None,Low,Emergency Fund,Kids Education,Poor
55,Business,89621,41374,21430,19944,False,0,0,48247,138844,False,None,Low,Vacation,Start Business,Good
25,Salaried,60117,33735,11269,22466,False,0,0,26382,100044,True,Gold,Moderate,Buy Car,Start Business,Average
42,Student,61367,53867,11261,42606,False,0,0,7500,207815,True,Real Estate,High,Emergency Fund,Buy House,Average
30,Self-employed,116363,67204,18770,48434,True,1941760,38483,10676,468606,True,Gold,Low,Vacation,Wealth Creation,Poor
50,Self-employed,170414,129462,61207,68255,False,0,0,40952,111854,True,FD,Moderate,Vacation,Buy House,Average
42,Student,144776,77603,26585,51018,False,0,0,67173,385934,True,Real Estate,High,Vacation,Kids Education,Good
55,Student,160439,110462,38984,71478,False,0,0,49977,101822,True,Stocks,Low,Buy Car,Wealth Creation,Average
25,Self-employed,137806,120243,29283,90960,False,0,0,17563,339233,True,Real Estate,High,Upgrade Lifestyle,Start Business,Average
28,Retired,135900,108206,57704,50502,False,0,0,27694,363018,True,FD,Low,Vacation,Start Business,Good
27,Self-employed,85555,62271,27530,34741,True,393992,12275,11009,309414,True,Real Estate,Low,Vacation,Wealth Creation,Average
23,Student,146781,74056,21443,52613,False,0,0,72725,317333,False,None,High,Buy Car,Kids Education,Good
56,Self-employed,123113,73669,19036,54633,True,1257738,8983,40461,429643,False,None,Moderate,Vacation,Buy House,Good
26,Salaried,45306,19788,9380,10408,True,1216703,10633,14885,134714,False,None,High,Pay Debt,Buy House,Good
29,Student,32670,14356,8032,6324,True,819856,9991,8323,441885,True,Real Estate,Low,Upgrade Lifestyle,Retirement,Good
44,Retired,54027,29185,12904,16281,True,149009,20001,4841,258451,True,Mutual Funds,Moderate,Emergency Fund,Retirement,Poor
29,Student,130951,89473,34806,54667,False,0,0,41478,429412,False,None,Low,Vacation,Wealth Creation,Good
39,Retired,159518,105604,48180,57424,False,0,0,53914,243682,True,Crypto,High,Upgrade Lifestyle,Buy House,Average
40,Student,171123,150828,38378,112450,True,242792,11112,9183,115038,True,Crypto,Low,Pay Debt,Retirement,Poor
46,Self-employed,134090,80527,47911,32616,True,960287,4239,49324,138734,False,None,Low,Emergency Fund,Retirement,Average
42,Self-employed,103165,86514,34359,52155,True,908836,35059,0,33247,False,None,High,Buy Car,Wealth Creation,Poor
37,Retired,100788,50243,29520,20723,False,0,0,50545,15120,False,None,Moderate,Pay Debt,Retirement,Average
60,Business,121056,103651,43133,60518,False,0,0,17405,405793,False,None,High,Vacation,Wealth Creation,Average
38,Self-employed,77525,41154,21013,20141,True,1513200,38046,0,466864,True,FD,Moderate,Vacation,Buy House,Poor
26,Self-employed,27181,22215,9927,12288,False,0,0,4966,225316,True,Gold,Moderate,Upgrade Lifestyle,Kids Education,Average
48,Business,80884,35761,9422,26339,False,0,0,45123,125817,False,None,High,Vacation,Kids Education,Good
34,Business,30640,17946,5450,12496,True,645505,27046,0,338511,False,None,Moderate,Upgrade Lifestyle,Kids Education,Poor
50,Retired,30517,18012,7389,10623,False,0,0,12505,130800,False,None,High,Buy Car,Wealth Creation,Good
24,Salaried,32260,27308,16059,11249,False,0,0,4952,170646,False,None,Low,Upgrade Lifestyle,Kids Education,Average
59,Salaried,81012,49175,27193,21982,True,283689,49275,0,490665,False,None,Moderate,Emergency Fund,Start Business,Poor
49,Self-employed,85800,76403,30246,46157,True,1454863,43625,0,37686,False,None,Moderate,Vacation,Start Business,Poor
27,Retired,14869,6430,1326,5104,True,770880,17483,0,9548,False,None,Low,Vacation,Retirement,Poor
40,Salaried,23595,14688,8470,6218,False,0,0,8907,280000,True,Stocks,Moderate,Pay Debt,Wealth Creation,Good
32,Salaried,152647,78818,45163,33655,True,1818230,14145,59684,108622,True,Real Estate,Low,Upgrade Lifestyle,Kids Education,Average
35,Self-employed,26862,13291,5054,8237,False,0,0,13571,365548,True,Crypto,Moderate,Buy Car,Start Business,Good
54,Retired,54346,48561,26504,22057,True,936411,35926,0,305825,True,Crypto,High,Upgrade Lifestyle,Retirement,Poor
60,Retired,95761,74003,37708,36295,False,0,0,21758,162755,False,None,Low,Vacation,Start Business,Average
52,Student,90055,39001,11003,27998,True,1740282,32712,18342,46855,True,Gold,Moderate,Vacation,Wealth Creation,Average
55,Student,18963,11366,2488,8878,False,0,0,7597,248261,False,None,High,Emergency Fund,Start Business,Good
34,Student,180785,155626,41495,114131,False,0,0,25159,477426,False,None,Moderate,Emergency Fund,Kids Education,Average
23,Student,91090,56802,29639,27163,True,779751,24978,9310,383430,True,Gold,Low,Vacation,Buy House,Average
40,Business,182214,84331,45664,38667,True,1695335,10910,86973,410502,True,Gold,Moderate,Emergency Fund,Start Business,Good
60,Business,81320,65036,16320,48716,False,0,0,16284,155678,False,None,Low,Vacation,Wealth Creation,Average
53,Salaried,32662,27264,5717,21547,False,0,0,5398,240011,True,Crypto,Moderate,Emergency Fund,Kids Education,Average
53,Student,14095,6922,2077,4845,True,191722,30579,0,106284,True,Mutual Funds,Moderate,Buy Car,Retirement,Poor
51,Retired,149313,69477,24289,45188,True,362285,11900,67936,275288,False,None,High,Pay Debt,Kids Education,Good
27,Self-employed,15581,9092,5322,3770,False,0,0,6489,252142,False,None,Low,Emergency Fund,Wealth Creation,Good
31,Salaried,135236,98501,49140,49361,False,0,0,36735,48225,True,Crypto,Low,Upgrade Lifestyle,Start Business,Average
49,Business,156765,117681,40017,77664,True,1872480,46166,0,305413,False,None,High,Vacation,Start Business,Poor
39,Self-employed,158380,141046,41494,99552,True,303666,18583,0,421687,False,None,Low,Pay Debt,Retirement,Poor
37,Salaried,198771,145669,77043,68626,False,0,0,53102,203371,False,None,High,Pay Debt,Start Business,Average
36,Salaried,152733,92870,19569,73301,False,0,0,59863,449602,True,None,High,Pay Debt,Kids Education,Good
49,Self-employed,18075,14787,4583,10204,True,425944,27368,0,283815,True,Gold,High,Vacation,Start Business,Poor
28,Retired,199856,102090,21428,80662,False,0,0,97766,322000,True,Real Estate,High,Buy Car,Buy House,Good
37,Self-employed,129902,84806,36632,48174,False,0,0,45096,383034,True,Real Estate,High,Buy Car,Buy House,Good
56,Student,96142,56799,16074,40725,False,0,0,39343,14966,True,Gold,High,Emergency Fund,Kids Education,Average
48,Self-employed,108802,69960,40915,29045,False,0,0,38842,209764,False,None,High,Upgrade Lifestyle,Kids Education,Average
54,Retired,106410,60608,20647,39961,True,71579,43333,2469,472652,True,Gold,High,Emergency Fund,Wealth Creation,Poor
31,Salaried,198080,100926,30401,70525,False,0,0,97154,324312,False,None,Low,Buy Car,Retirement,Good
28,Business,23266,15532,4107,11425,False,0,0,7734,296726,False,None,Low,Buy Car,Wealth Creation,Good
27,Self-employed,11635,5852,1711,4141,False,0,0,5783,117410,True,Stocks,High,Pay Debt,Start Business,Good
39,Business,27975,16189,4419,11770,False,0,0,11786,497775,True,None,High,Buy Car,Kids Education,Good
39,Business,193507,108090,38297,69793,True,1703768,31561,53856,249219,True,Gold,Low,Upgrade Lifestyle,Retirement,Average
45,Retired,197460,139193,66980,72213,False,0,0,58267,143906,False,None,High,Buy Car,Start Business,Average
60,Retired,49165,43984,20712,23272,False,0,0,5181,394628,False,None,Low,Vacation,Wealth Creation,Average
59,Salaried,33990,26308,12820,13488,False,0,0,7682,172560,True,Crypto,Moderate,Upgrade Lifestyle,Retirement,Good
40,Student,130667,82946,31423,51523,False,0,0,47721,140772,True,None,High,Upgrade Lifestyle,Start Business,Average
25,Student,197797,136442,45230,91212,True,1678485,23059,38296,203935,False,None,Low,Vacation,Kids Education,Average
49,Retired,34582,27173,15677,11496,True,1305289,39774,0,51848,True,Mutual Funds,Low,Buy Car,Retirement,Poor
37,Salaried,166000,124079,63029,61050,False,0,0,41921,337674,True,Real Estate,Moderate,Pay Debt,Retirement,Average
36,Business,39649,28759,13620,15139,False,0,0,10890,22125,False,None,Moderate,Upgrade Lifestyle,Wealth Creation,Average
44,Business,51975,41330,17851,23479,False,0,0,10645,379737,True,Mutual Funds,High,Pay Debt,Retirement,Good
54,Retired,124993,103030,31240,71790,True,226417,11076,10887,185111,False,None,Moderate,Buy Car,Retirement,Poor
29,Salaried,77704,43723,10092,33631,True,405994,46476,0,168318,False,None,Low,Upgrade Lifestyle,Buy House,Poor
24,Retired,184962,150298,72824,77474,True,1223574,36821,0,333538,False,None,Moderate,Upgrade Lifestyle,Start Business,Poor
37,Student,133270,110626,57402,53224,True,171396,39895,0,116734,True,None,Low,Emergency Fund,Wealth Creation,Poor
44,Retired,161628,111636,29493,82143,True,1912629,17081,32911,118058,True,Crypto,High,Pay Debt,Wealth Creation,Average
55,Retired,16743,14302,3672,10630,True,747601,20705,0,294582,False,None,Low,Vacation,Buy House,Poor
22,Salaried,180653,131336,28282,103054,True,68327,31691,17626,117589,True,Real Estate,Low,Buy Car,Kids Education,Poor
20,Business,59562,26412,11764,14648,True,356018,34069,0,192148,True,Stocks,Moderate,Emergency Fund,Start Business,Poor
59,Retired,167405,139203,30362,108841,False,0,0,28202,359494,False,None,High,Buy Car,Start Business,Average
53,Retired,130217,60578,17595,42983,False,0,0,69639,378505,True,Crypto,High,Pay Debt,Buy House,Good
53,Salaried,127813,100377,57554,42823,False,0,0,27436,244195,False,None,Low,Pay Debt,Wealth Creation,Average
57,Student,180471,145800,65336,80464,False,0,0,34671,258404,True,FD,High,Upgrade Lifestyle,Kids Education,Average
55,Salaried,53401,30343,7830,22513,True,162426,7708,15350,306031,False,None,Low,Vacation,Kids Education,Good
32,Retired,130086,105187,27663,77524,False,0,0,24899,23430,False,None,High,Upgrade Lifestyle,Retirement,Average
23,Salaried,23811,12544,4427,8117,True,693236,40302,0,86398,False,None,Low,Pay Debt,Retirement,Poor
38,Retired,18929,15629,4326,11303,True,1117333,18961,0,234300,False,None,Low,Pay Debt,Retirement,Poor
56,Self-employed,122661,82130,47335,34795,True,1996279,38049,2482,386735,True,None,Moderate,Upgrade Lifestyle,Start Business,Poor
38,Retired,66893,57683,30967,26716,False,0,0,9210,373577,True,Crypto,Low,Vacation,Start Business,Average
58,Self-employed,126287,94141,34874,59267,False,0,0,32146,227426,False,None,High,Vacation,Retirement,Average
36,Student,197606,136623,56512,80111,True,651497,28342,32641,58219,False,None,High,Emergency Fund,Wealth Creation,Average
54,Retired,68104,30745,6996,23749,False,0,0,37359,131270,True,Gold,Low,Upgrade Lifestyle,Kids Education,Good
52,Self-employed,95633,75963,43640,32323,True,498317,37904,0,397325,True,Real Estate,High,Buy Car,Buy House,Poor
50,Business,64097,53813,13295,40518,True,1943284,48246,0,27292,False,None,High,Emergency Fund,Wealth Creation,Poor
39,Salaried,22466,13659,5501,8158,False,0,0,8807,197298,False,None,High,Vacation,Wealth Creation,Good
25,Salaried,45175,24370,6193,18177,True,1707190,26506,0,270632,True,Real Estate,Moderate,Vacation,Kids Education,Poor
55,Self-employed,128051,104338,37562,66776,False,0,0,23713,332882,False,None,High,Upgrade Lifestyle,Wealth Creation,Average
44,Business,102047,86728,35088,51640,False,0,0,15319,260304,False,None,Low,Vacation,Buy House,Average
28,Salaried,189890,152563,39656,112907,False,0,0,37327,180789,False,None,High,Buy Car,Retirement,Average
51,Salaried,100961,56642,19513,37129,True,947442,45973,0,170397,False,None,High,Buy Car,Buy House,Poor
23,Student,36544,26002,10911,15091,True,99678,9657,885,284803,False,None,Low,Upgrade Lifestyle,Start Business,Poor
49,Retired,54036,42500,13999,28501,True,483100,40787,0,324623,True,Gold,Moderate,Upgrade Lifestyle,Kids Education,Poor
24,Self-employed,165668,74950,43184,31766,True,402183,7519,83199,490472,False,None,Moderate,Pay Debt,Buy House,Good
29,Retired,144539,98660,21268,77392,True,1423766,39144,6735,67145,False,None,Low,Pay Debt,Start Business,Poor
60,Student,184759,113566,61113,52453,True,409270,26191,45002,229278,False,None,Moderate,Vacation,Retirement,Average
35,Salaried,142053,110338,25542,84796,False,0,0,31715,270433,True,None,Moderate,Vacation,Start Business,Average
48,Salaried,26893,11071,3094,7977,True,1441306,31797,0,20514,True,None,High,Pay Debt,Retirement,Poor
51,Salaried,50590,24590,12171,12419,True,1577358,15491,10509,488551,False,None,High,Vacation,Wealth Creation,Good
38,Self-employed,110621,45548,18812,26736,False,0,0,65073,315407,True,Gold,Moderate,Upgrade Lifestyle,Start Business,Good
24,Salaried,137344,87608,39326,48282,True,1432592,47121,2615,448008,False,None,High,Buy Car,Buy House,Poor
36,Self-employed,101282,89855,50954,38901,False,0,0,11427,1514,True,Real Estate,High,Upgrade Lifestyle,Retirement,Average
47,Business,68755,60302,28617,31685,False,0,0,8453,59399,False,None,High,Pay Debt,Wealth Creation,Average
49,Student,73737,65169,14035,51134,True,1283569,44586,0,469482,False,None,Moderate,Vacation,Wealth Creation,Poor
47,Student,69356,33309,9886,23423,False,0,0,36047,199077,False,None,High,Upgrade Lifestyle,Buy House,Good
28,Business,102811,46036,9999,36037,True,1203105,18095,38680,146564,False,None,Moderate,Pay Debt,Buy House,Good
54,Salaried,151536,118539,68353,50186,False,0,0,32997,262656,False,None,High,Buy Car,Start Business,Average
47,Retired,133697,116068,33236,82832,True,1485928,31124,0,156229,True,Mutual Funds,Low,Vacation,Buy House,Poor
49,Student,65276,44972,16609,28363,False,0,0,20304,183053,False,None,High,Emergency Fund,Buy House,Good
45,Retired,45723,28918,8110,20808,False,0,0,16805,28634,False,None,Low,Upgrade Lifestyle,Kids Education,Average
46,Retired,18479,11513,4915,6598,False,0,0,6966,472880,False,None,Moderate,Emergency Fund,Start Business,Good
26,Salaried,46627,25979,7034,18945,True,930067,21861,0,48704,False,None,Moderate,Upgrade Lifestyle,Start Business,Poor
28,Salaried,162511,137084,32026,105058,False,0,0,25427,177488,True,Gold,Low,Pay Debt,Kids Education,Average
21,Self-employed,189917,96245,46079,50166,False,0,0,93672,397305,True,Gold,Moderate,Vacation,Kids Education,Good
57,Self-employed,40804,33653,6821,26832,True,1151078,37878,0,320268,False,None,Moderate,Upgrade Lifestyle,Kids Education,Poor
42,Self-employed,194093,161839,47616,114223,True,1356629,15778,16476,290370,True,Stocks,Moderate,Upgrade Lifestyle,Buy House,Poor
21,Self-employed,77085,69337,30838,38499,False,0,0,7748,303361,True,FD,High,Vacation,Retirement,Average
22,Retired,83932,40075,19058,21017,False,0,0,43857,301103,False,None,High,Upgrade Lifestyle,Retirement,Good
45,Student,107434,72589,37035,35554,True,1121256,44338,0,312570,True,Crypto,High,Vacation,Kids Education,Poor
