Currently_Investing,Investment_Types,Review_Frequency,Income_Investment_%,Risk_Appetite,Understanding_Level,Preference,Advisor_Type,Past_Loss_Experience,Reaction_To_Loss,Return_Expectation,Recommended_Investment,Recommendation_Reasoning,Recommendation_Confidence
Yes,"Mutual Funds, Real Estate, SIP",Weekly,18,Moderate,Low,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Balanced Portfolio + RE exposure, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Existing real-estate investment suggests maintaining diversification. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"FD, Gold, Mutual Funds",Quarterly,16,Low,High,Short-Term,Self,Yes,Hold,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.8
Yes,"SIP, Stocks",Monthly,18,High,High,Long-Term,Professional Advisor,Yes,Invest More,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.85
Yes,FD,Quarterly,6,Low,Low,Long-Term,Self,Yes,Panic Sell,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.55
Yes,"Gold, Mutual Funds, SIP",Never,15,Moderate,Low,Short-Term,Professional Advisor,Yes,Hold,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.7
Yes,"Crypto, Stocks",Quarterly,29,High,Medium,Long-Term,Self,Yes,Diversify,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.65
Yes,Mutual Funds,Never,14,Moderate,Low,Both,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Crypto, Mutual Funds, SIP, Stocks",Monthly,16,High,Medium,Both,Professional Advisor,No,N/A,High (>12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.75
Yes,FD,Weekly,0,Low,High,Short-Term,Self,Yes,Diversify,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.7
Yes,"FD, Mutual Funds, SIP",Monthly,5,Moderate,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.6
No,None,Monthly,0,Low,High,Long-Term,Self,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.6
Yes,"Gold, Mutual Funds, SIP",Monthly,12,Moderate,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
Yes,"Crypto, SIP, Stocks",Monthly,22,High,Low,Short-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable), FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","High risk appetite -> equity-heavy allocation for higher expected returns. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"FD, Gold",Quarterly,2,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
Yes,"Mutual Funds, SIP",Monthly,8,Moderate,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals",Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.65
Yes,"FD, Mutual Funds",Monthly,7,Low,Medium,Long-Term,Self,Yes,Hold,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.55
Yes,Mutual Funds,Monthly,21,Moderate,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
Yes,"Mutual Funds, SIP",Rarely,6,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Monthly,0,High,High,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.65
No,None,Yearly,0,Moderate,Low,Long-Term,Professional Advisor,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Quarterly,0,Low,High,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
Yes,FD,Quarterly,16,Low,High,Long-Term,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.85
Yes,"FD, Gold, Real Estate",Monthly,8,Low,Medium,Both,Professional Advisor,Yes,Diversify,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.6
No,None,Monthly,0,Low,Medium,Short-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,FD,Quarterly,8,Low,Medium,Both,Both,Yes,Hold,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,Stocks,Monthly,23,High,High,Long-Term,Both,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.9
Yes,"Gold, Mutual Funds, SIP",Monthly,22,Moderate,Low,Short-Term,Self,Yes,Panic Sell,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
Yes,Mutual Funds,Monthly,11,Moderate,Medium,Long-Term,Self,Yes,Hold,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.55
No,None,Rarely,3,Low,Medium,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"SIP, Stocks",Quarterly,26,High,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.7
No,None,Quarterly,0,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"FD, Gold, Real Estate",Quarterly,4,Low,Medium,Short-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.6
Yes,Mutual Funds,Rarely,4,Moderate,Medium,Long-Term,Self,Yes,Hold,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.55
Yes,"Mutual Funds, SIP",Quarterly,13,Moderate,High,Both,Professional Advisor,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
Yes,"FD, Gold",Quarterly,11,Low,Low,Both,Self,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.6
No,None,Rarely,0,Moderate,High,Long-Term,Self,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
No,None,Yearly,0,Moderate,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
No,None,Monthly,0,Low,High,Long-Term,Both,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.7
No,None,Monthly,0,High,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,"SIP, Stocks",Yearly,19,High,Medium,Both,Professional Advisor,No,N/A,Medium (8-12%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns.,0.75
No,None,Rarely,0,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"Gold, Mutual Funds, Stocks",Quarterly,4,Moderate,High,Long-Term,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.75
Yes,"Mutual Funds, SIP",Quarterly,14,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Gold, Mutual Funds",Quarterly,8,Moderate,High,Both,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.75
Yes,"Mutual Funds, SIP",Quarterly,9,Moderate,High,Both,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
Yes,"FD, Mutual Funds",Yearly,18,Low,Low,Long-Term,Professional Advisor,Yes,Panic Sell,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
Yes,"Mutual Funds, SIP",Monthly,10,Moderate,Low,Long-Term,Self,Yes,Panic Sell,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.55
No,None,Never,0,High,Medium,Long-Term,Both,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,"Mutual Funds, SIP",Yearly,12,Moderate,Low,Long-Term,Self,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.55
Yes,"FD, Mutual Funds",Quarterly,6,Low,High,Long-Term,Both,Yes,Hold,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.75
Yes,Mutual Funds,Monthly,11,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,FD,Monthly,11,Low,Low,Long-Term,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
No,None,Quarterly,0,Low,High,Long-Term,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.65
Yes,"FD, Mutual Funds",Yearly,11,Low,Medium,Short-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs.,0.6
No,None,Quarterly,1,Low,High,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.7
No,None,Monthly,0,Moderate,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"Mutual Funds, SIP",Quarterly,22,Moderate,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.7
Yes,"FD, Gold",Rarely,0,Low,Medium,Short-Term,Professional Advisor,No,N/A,Low (<8%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
No,None,Weekly,0,High,Medium,Long-Term,Professional Advisor,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Quarterly,0,High,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
No,None,Yearly,0,High,Medium,Short-Term,Self,Yes,Diversify,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.45
No,None,Quarterly,0,Low,Medium,Long-Term,Professional Advisor,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,"Mutual Funds, Stocks",Yearly,5,Moderate,Low,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
Yes,Stocks,Quarterly,13,High,Medium,Long-Term,Self,Yes,Diversify,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.55
Yes,Mutual Funds,Never,15,Moderate,Low,Long-Term,Self,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.7
No,None,Monthly,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,FD,Quarterly,0,Low,Low,Both,Self,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Mutual Funds, SIP",Monthly,9,Moderate,Medium,Long-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
Yes,Stocks,Monthly,20,High,Medium,Long-Term,Self,No,N/A,Low (<8%),"Direct Equity (select stocks), SIP in Aggressive Equity Funds, Small allocation to Crypto (if comfortable)",High risk appetite -> equity-heavy allocation for higher expected returns. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.7
Yes,"Mutual Funds, SIP",Monthly,7,Moderate,Low,Long-Term,Professional Advisor,Yes,Panic Sell,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.6
Yes,"Mutual Funds, SIP, Stocks",Monthly,10,Moderate,Low,Long-Term,Professional Advisor,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.65
No,None,Never,0,Low,Low,Long-Term,Both,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"Mutual Funds, SIP",Rarely,11,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.65
No,None,Monthly,0,High,High,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.65
Yes,Mutual Funds,Quarterly,5,Moderate,Low,Short-Term,Professional Advisor,Yes,Panic Sell,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Mutual Funds, SIP",Quarterly,12,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.6
No,None,Rarely,2,High,Medium,Long-Term,Self,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
No,None,Quarterly,0,Low,Medium,Long-Term,Professional Advisor,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.55
Yes,"Mutual Funds, SIP",Weekly,12,Moderate,High,Long-Term,Both,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.8
No,None,Yearly,0,Low,Medium,Long-Term,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
Yes,Mutual Funds,Yearly,3,Moderate,Medium,Long-Term,Both,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
Yes,"Mutual Funds, SIP",Quarterly,1,Moderate,Low,Short-Term,Self,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, FD / Liquid Funds for short-term goals, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.",0.6
